,mean,std,min,max,skew,kurtosis
lw,-0.35288461538461535,0.3881932069803495,-1.0,1.0000000000000002,1.2166631399068863,1.717661211229844
hw,-0.33073038461538457,0.4794477614251034,-1.0,3.5999999999999996,2.3276669044145724,13.667402724922276
tw,-0.2300673778775969,0.33010804378479786,-1.0,1.0,0.4491865417230166,-0.5011913007983897
f′c,-0.4602484229240083,0.3759782186418221,-1.0,0.9999999999999998,1.7956919444876753,3.689697155670264
fyt,-0.2982181910338023,0.3339238748606481,-0.9999999999999999,1.0,0.8464753617238606,1.5372922323368448
fysh,-0.006318243160348475,0.4834090075548969,-1.0,0.9999999999999998,0.01037654197703521,-0.3387860395727187
fyl,-0.2783022543155584,0.32951556984449165,-0.9999999999999999,1.0,0.9999731899322449,1.9097494125461996
fybl,-0.626373559351859,0.19971916272046905,-1.0,1.0,2.214792257829052,13.880487154098862
ρt,-0.6110003127979351,0.27961403841579735,-1.0026407862486668,1.0,1.6963701593223217,5.5560952010185645
ρsh,-0.007155635062611674,0.48339104438339836,-1.0,1.0000000000000002,0.04474996815783848,-0.3880748101307172
ρl,-0.715881733078115,0.24308383759761856,-1.0,1.0,2.584815962520516,11.774368231752995
ρbl,-0.5096681892525822,0.457474323789801,-0.9999999999999999,1.0,1.529157096143703,1.392031210827775
P/(Agf′c),-0.5935578542115655,0.4655444692954077,-1.0,1.0,1.7369828658951345,3.17895832420135
b0,-0.7840424403183024,0.22202571105957353,-0.9999999999999999,0.9999999999999998,4.308101486030611,27.97031323932086
db,-0.30680017161316375,0.3915418931456826,-1.0,1.325984251968504,0.6755630860917895,1.6122985840926916
s/db,-0.8489908959256193,0.28324724559132297,-1.0,1.0,3.3115560878860943,15.589486022861472
AR,-0.28861062909576307,0.4206755012102806,-1.0,2.7425015302999425,1.3497125799627592,7.910062703423465
M/Vlw,-0.49801181026671215,0.31980621391326425,-0.9999999999999999,1.4867724867724865,1.3164770266531973,5.473075375224958
